accident,tai nạn
act,hành động
action,hành động
activity,hoạt động
actor,diễn viên
actually,thực ra
add,thêm
address,địa chỉ
adult,người trưởng thành
advanced,nâng cao
concert,buổi hòa nhạc
adventure,cuộc phiêu lưu
advertisement,quảng cáo
cheap,rẻ
advice,lời khuyên
aeroplane,máy bay
afternoon,buổi chiều
afterwards,sau đó
again,lại
age,tuổi
agree,đồng ý
air,không khí
airport,sân bay
album,quyển album
all,tất cả
allow,cho phép
alone,một mình
amazing,tuyệt vời
ambulance,xe cấp cứu
angry,tức giận
animal,động vật
any,bất kỳ
anybody,bất cứ ai
anything,bất cứ điều gì
anywhere,bất cứ đâu
apartment,căn hộ
application,ứng dụng
apple,quả táo
disappointment,sự thất vọng
area,khu vực
arm,cánh tay
armchair,ghế bành
arrive,đến
art,nghệ thuật
article,bài báo
ask,hỏi
assistant,trợ lý
attractive,thu hút
aunt,dì
autumn,mùa thu
away,xa
awesome,tuyệt vời
awful,tồi tệ
baby,em bé
back,cái lưng
backpack,balo
bad,xấu
badly,tồi tệ
badminton,cầu lông
bag,túi
bake,cái bánh
balloon,quả bóng bay
banana,quả chuối
band,ban nhạc
bank,ngân hàng
baseball,bóng chày
basketball,bóng rổ
bat,con dơi
bath,bồn tắm
bathing suit,đồ bơi
bathroom,phòng tắm
bathtub,bồn tắm
battery,pin
beach,bãi biển
bean,hạt đậu
bear,con gấu
beard,râu
beautiful,xinh đẹp
because,bởi vì
bed,giường ngủ
bedroom,phòng ngủ
bee,con ong
begin,bắt đầu
believe,tin tưởng
belong,thuộc về
belt,thắt lưng
best,tốt nhất
better,tốt hơn
bicycle,xe đạp
bike,xe đạp
bill,hóa đơn
bin,thùng rác
biology,sinh học
bird,con chim
birthday,sinh nhật
biscuit,bánh quy
black,màu đen
blanket,cái chăn
blood,máu
board,bảng
boat,con thuyền
body,cơ thể
boil,sôi
book,quyển sách
bookshelf,giá sách
bookshop,hiệu sách
boot,cốp xe
boring,nhàm chán
born,sinh ra
cafeteria,nhà ăn
cake,bánh
calendar,lịch
camel,con lạc đà
camera,máy ảnh
camping,cắm trại
campsite,khu cắm trại
cap,mũ lưỡi trai
capital,thủ đô
car,ô tô
card,thẻ
career,sự nghiệp
careful,cẩn thận
car park,bãi đậu xe
